placeId,name,address,lat,lng,types,category
ChIJgX5HVMjzNIgRbOZX3IGiepE,Many More Marketplace,"2767 Liberty Ave, Pittsburgh, PA 15222, United States",40.4560012,-79.975833,"supermarket,grocery_or_supermarket,point_of_interest,food,store,establishment",grocery
ChIJF4HZydnzNIgR8ELgxPP4VOY,Center Hill Market,"2168 Centre Ave, Pittsburgh, PA 15219, United States",40.4452184,-79.9765941,"convenience_store,point_of_interest,food,store,establishment",grocery
ChIJr2zAWVXzNIgRfUXEuOwvNoE,Harvie,"28 McCandless Ave, Pittsburgh, PA 15201, United States",40.4829564,-79.9550012,"grocery_or_supermarket,point_of_interest,food,store,establishment",grocery
ChIJw6UeJELxNIgRWQ_pklHs2ZI,bp,"1006 E Carson St, Pittsburgh, PA 15203, United States",40.42852999999999,-79.988255,"gas_station,supermarket,grocery_or_supermarket,point_of_interest,food,store,establishment",grocery
ChIJH1lbamnxNIgR3tXJWeYo_YU,Carson News & Lottery,"1404 E Carson St, Pittsburgh, PA 15203, United States",40.4286979,-79.98387129999999,"convenience_store,grocery_or_supermarket,point_of_interest,food,store,establishment",grocery
ChIJh5-cqkfyNIgR0Oikxdv6q_g,Linea Verde Green Market,"4619 Liberty Ave, Pittsburgh, PA 15224, United States",40.462428,-79.9502103,"grocery_or_supermarket,point_of_interest,food,store,establishment",grocery
ChIJbYyVTMPzNIgR5H5QfxE85Hs,WFH Oriental Market,"2306 Penn Ave, Pittsburgh, PA 15222, United States",40.4529415,-79.9811546,"supermarket,grocery_or_supermarket,point_of_interest,food,store,establishment",grocery
ChIJNdRSlcjzNIgRKztXRZ8R3os,Salem Market & Grill,"2923 Penn Ave, Pittsburgh, PA 15201, United States",40.4585382,-79.9737353,"grocery_or_supermarket,restaurant,point_of_interest,food,store,establishment",grocery
ChIJuVURit3zNIgRpunVsdpgoOE,Lotus Food Company,"1649 Penn Ave, Pittsburgh, PA 15222, United States",40.4496903,-79.9862945,"supermarket,grocery_or_supermarket,point_of_interest,food,store,establishment",grocery
ChIJx9iSpQzyNIgR_SApLGX0mx0,R Market,"256 S Highland Ave, Pittsburgh, PA 15206, United States",40.4572853,-79.925302,"grocery_or_supermarket,convenience_store,point_of_interest,food,store,establishment",grocery
ChIJ6Q0m4tzzNIgR6_rNycDo-8w,Pennsylvania Macaroni Co.,"2010-2012 Penn Ave, Pittsburgh, PA 15222, United States",40.4512891,-79.9835032,"grocery_or_supermarket,point_of_interest,food,store,establishment",grocery
ChIJoyiZ6wbzNIgR9MbDHsdgvJs,Murray's Market,"1700 Murray Ave, Pittsburgh, PA 15217, United States",40.4378025,-79.9231956,"grocery_or_supermarket,point_of_interest,food,store,establishment",grocery
ChIJFdeQic_zNIgRFCpBAK7d__k,Bloomfield Groceria,"237 Cedarville St, Pittsburgh, PA 15224, United States",40.4618803,-79.9485296,"grocery_or_supermarket,point_of_interest,food,store,establishment",grocery
ChIJ0cXvQA3yNIgRxeZU65tOynE,Tokyo Japanese Food Store,"5855 Ellsworth Ave, Pittsburgh, PA 15232, United States",40.4575615,-79.9292598,"grocery_or_supermarket,supermarket,point_of_interest,food,store,establishment",grocery
ChIJt7vPU3TyNIgRYMxXzut9iDA,Target,"6231 Penn Ave, Pittsburgh, PA 15206, United States",40.4609075,-79.92120899999999,"department_store,electronics_store,furniture_store,home_goods_store,shoe_store,point_of_interest,clothing_store,store,establishment",grocery
ChIJs4oUOoPtNIgRFHeCCZ_SEbY,Enson Market 东方超市,"7511 Thomas Blvd, Pittsburgh, PA 15208, United States",40.449754,-79.894736,"grocery_or_supermarket,point_of_interest,food,store,establishment",grocery
ChIJUe4p4tzzNIgRcr1CuO6DUJY,Stamoolis Brothers Co.,"2020 Penn Ave, Pittsburgh, PA 15222, United States",40.451303,-79.98328,"grocery_or_supermarket,point_of_interest,food,store,establishment",grocery
ChIJF3TJFG_yNIgRCXny5nQwcZk,Garfield Market,"340 N Aiken Ave, Pittsburgh, PA 15206, United States",40.4675981,-79.9344685,"grocery_or_supermarket,point_of_interest,food,store,establishment",grocery
